Question,Choice1,Choice2,Choice3,Choice4,Answer
"PDF出力時に、SHXフォントの文字をコメントとして保存するか、ジオメトリ保存するか等を設定するシステム変数は？","PDFTEXTCTRL","SHXFONTSEL","PDFCONVERTMODE","PDFSHX","PDFSHX"
"レイアウト空間が重い時に調整するとパフォーマンスを向上できるシステム変数は？","LAYOUTREFRESH","TABREGENMODE","LAYOUTUPDATECTL","LAYOUTREGENCTL","LAYOUTREGENCTL"
"ハッチングに線種設定を反映するかどうかを設定するシステム変数は？","HATCHLINETYPE","HPSTYLEMODE","HATCHPATTERNCTRL","HPLINETYPE","HPLINETYPE"
"図面単位（フィート‐インチ／メートル）の設定を管理するシステム変数は？","UNITCONTROL","DIMENSIONUNIT","UNITSETTINGS","MEASUREMENT","MEASUREMENT"
"寸法オブジェクトの自動調整および、寸法を分解するかどうか等をコントロールするシステム変数は？","DIMAUTOMODE","DIMADJUST","DIMRECALCCTRL","DIMASSOC","DIMASSOC"
"新規作成されるハッチングの既定画層を指定するシステム変数は？","DEFAULTHATCHLAYER","HATCHASSIGN","HATCHLAYER","HPLAYER","HPLAYER"
"新しい寸法の既定の画層を指定するシステム変数は？","ANNOTATIONLAYER","DIMDISPLAYLAYER","LAYERDIMCTRL","DIMLAYER","DIMLAYER"
"文字省略モードのオン・オフを切り替えるシステム変数は？","TEXTDISPLAYMODE","QTEXTFORMAT","QUICKTEXTCTRL","QTEXTMODE","QTEXTMODE"
"すべてのイメージ、クリップされている外部参照、ワイプアウト等のフレーム表示を切り替えるシステム変数は？","XREFFRAME","BOUNDARYFRAME","IMAGEFRAMECTRL","FRAME","FRAME"
"ワイプアウトオブジェクトの枠線表示設定に関するシステム変数は？","WIPEFRAMECTRL","WIPEBOUNDARY","WIPEOUTDISPLAY","WIPEOUTFRAME","WIPEOUTFRAME"
"ブロックの属性の表示/非表示を切り替えるシステム変数は？","ATTDISPLAY","ATTRCONTROL","ATTRIBUTEVIEW","ATTMODE","ATTMODE"
"重なり合うオブジェクトの描画順序を制御するシステム変数は？","OBJECTSTACKCTL","DRAWORDERSET","OVERLAYORDER","DRAWORDERCTL","DRAWORDERCTL"
"鏡像操作時にハッチングパターンの方向を鏡像化するかどうかを管理するシステム変数は？","MIRRORHATCHCTRL","HATCHFLIPMODE","MIRRORPATTERN","MIRRHATCH","MIRRHATCH"
"鏡像操作時に文字の方向を鏡像化するかどうかを管理するシステム変数は？","MIRRORTEXTCTRL","TEXTFLIPMODE","MIRRORTYPING","MIRRTEXT","MIRRTEXT"
"UCS変更時に、自動的にプランビューをUCSに合わせるかどうかをコントロールするシステム変数は？","UCSAUTOVIEW","UCSPLANMODE","UCSSWITCH","UCSFOLLOW","UCSFOLLOW"
"コマンドラインにキーボード入力した際の候補リストを表示するまでの時間を設定するシステム変数は？","SEARCHDELAYTIME","INPUTDELAY","COMMANDSEARCHPAUSE","INPUTSEARCHDELAY","INPUTSEARCHDELAY"
"実線以外の線種のオブジェクトの空白部分で選択またはスナップできるかどうかをコントロールするシステム変数は？","LTTYPEGAPCTRL","GAPSELECTIONMODE","LINETYPEGAPSETTING","LTGAPSELECTION","LTGAPSELECTION"
"新規図面作成時に既定としてフィート-インチを使用するか、メートルを使用するかをコントロールするシステム変数は？","DEFAULTUNITMODE","DRAWINGUNITINIT","UNITCONFIGINIT","MEASUREINIT","MEASUREINIT"
"ビューポートが回転されたときに、ビューポート内のビューも一緒に回転させるかどうかを管理するシステム変数は？","VIEWROTATIONLINK","ROTATEVIEWSYNC","VPORTROTATECTRL","VPROTATEASSOC","VPROTATEASSOC"
"ファイル選択ダイアログボックスの表示/非表示をコントロールシステム変数は？","FILEGUIDE","DWGIDCONTROL","FILEIDENTIFIER","FILEDIA","FILEDIA"
"図面範囲・グリッド範囲外にオブジェクトを作成できるかどうかをコントロールするシステム変数は？","LIMITVERIFY","CHECKLIMITS","RESTRICTCHECK","LIMCHECK","LIMCHECK"
"図面全体の線種尺度(グローバル線種尺度)を設定するシステム変数は？","GLOBALLINETYPESCALE","LINETYPEGLOBAL","SCALELINECTL","LTSCALE","LTSCALE"
"ペーパー空間のビューポートに表示されるオブジェクトの線種尺度をコントロールするシステム変数は？","PAPERLINETYPESCALE","VIEWPORTLINETYPE","PSLINETYPESCALE","PSLTSCALE","PSLTSCALE"
"現在のオブジェクトの線種尺度を設定するシステム変数は？","BLOCKLINETYPESCALE","CELLTYPESCALING","BLOCKSCL","CELTSCALE","CELTSCALE"
"グループ選択と自動調整ハッチング選択をコントロールするシステム変数は？","SELECTIONSTYLE","OBJECTPICKMODE","STYLEPICKCTRL","PICKSTYLE","PICKSTYLE"
"画面外のオブジェクトを選択の対象とするかどうかを管理するシステム変数は？","OFFSCREENPICKING","OUTOFSCREENSELECT","NONVISIBLESELECTION","SELECTIONOFFSCREEN","SELECTIONOFFSCREEN"
"描画時のアンチエイリアシング効果を管理し、曲線や斜めの線を滑らかに表示するかどうかを指定するシステム変数は？","ANTIALIASEMODE","SMOOTHRENDER","LINEFILTERMODE","LINESMOOTHING","LINESMOOTHING"
"現在の選択セットに、新たに選択したオブジェクトを追加するかどうかを指定するシステム変数は？","MULTISELECTMODE","SELECTADDITION","ADDITIVEPICK","PICKADD","PICKADD"
"外部参照のクリップ境界表示を管理するシステム変数は？","CLIPBOUNDCTRL","XREFCLIPMODE","EXTREFFRAME","XCLIPFRAME","XCLIPFRAME"
"ハッチングおよび塗り潰し、幅のあるポリラインを塗り潰すかどうかを指定するシステム変数は？","HATCHINGDISPLAY","PATTERNSHOWMODE","SOLIDFILLSETTING","FILLMODE","FILLMODE"